timestamp,latency_ms
1789658956.8237183,14.63569999759784
1789658956.8242064,15.952300000208197
1789658956.8259873,13.502800000424031
1789658956.8263936,13.511700002709404
1789658956.8265722,12.321100002736785
1789658956.8267586,15.849100000195904
1789658956.8277283,16.3819000008516
1789658956.828024,14.116099999228027
1789658956.828094,17.704499998217216
1789658956.8289723,2.5707009990583174
1789658956.8291824,3.1874010019237176
1789658956.8298242,20.20790099777514
1789658956.829957,3.194401000655489
1789658956.8301427,6.417601001885487
1789658956.8302748,6.061501000658609
1789658956.8311572,4.579700998874614
1789658956.8323858,3.1919000030029565
1789658956.8333106,4.329800001869444
1789658956.8333857,3.104300001723459
1789658956.833425,3.592400000343332
1789658956.8335924,5.492401000083191
1789658956.8337393,3.5908999998355284
1789658956.8346517,6.9159009981376585
1789658956.8349495,3.786299999774201
1789658956.8351068,7.077901002048748
1789658956.8352122,2.815499999996973
1789658956.8362844,6.320700002106605
1789658956.8368132,3.0692000000271946
1789658956.8374321,3.999099997599842
1789658956.8380122,4.413800001202617
1789658956.8381433,3.031200001714751
1789658956.8383226,5.003700000088429
1789658956.8386922,4.0356000026804395
1789658956.8387313,5.33950000317418
1789658956.8389044,3.949300000385847
1789658956.8400881,4.871199998888187
1789658956.8408403,2.6875999974436127
1789658956.8419256,3.5957000000053085
1789658956.8420231,3.2875000033527613
1789658956.8421943,5.376100001740269
1789658956.8426323,4.613600001903251
1789658956.84282,5.381099999794969
1789658956.8429012,4.204299999400973
1789658956.8434434,4.5332000008784235
1789658956.8435504,7.258000001456821
1789658956.8440962,4.002599998784717
1789658956.8453581,2.718399999139365
1789658956.8454852,2.5793999993766192
1789658956.8459885,3.957199998694705
1789658956.8469071,6.055000001651933
1789658956.8472126,5.279600001813378
1789658956.8472614,5.062600001110695
1789658956.847309,4.484400000364985
1789658956.8480506,2.6870000001508743
1789658956.848593,5.14159999875119
1789658956.8492167,5.111099999339785
1789658956.8498924,3.892100001394283
1789658956.8501663,3.244999999878928
1789658956.851221,5.728200001613004
1789658956.8515055,7.949200000439305
1789658956.8516917,3.6358999968797434
1789658956.85225,4.982499998732237
1789658956.8523097,5.091600000014296
1789658956.852542,5.227199999353616
1789658956.8531504,3.9270000015676487
1789658956.8535826,3.406299998459872
1789658956.8539104,4.008500000054482
1789658956.8546064,3.378500001417706
1789658956.855452,6.851000001915963
1789658956.8559473,3.630499999417225
1789658956.8560004,3.7454000012075994
1789658956.8567016,3.113499999017222
1789658956.8574164,4.869100001087645
1789658956.8575563,3.639799997472437
1789658956.8578088,6.297099997027544
1789658956.8581028,2.6436000007379334
1789658956.8581517,4.995400002371753
1789658956.8590412,7.345099998929072
1789658956.8593726,4.760200001328485
1789658956.8602233,3.51550000050338
1789658956.8604913,4.485900000872789
1789658956.860726,2.912599997216603
1789658956.8608098,4.8566999976173975
1789658956.8616097,4.046599999128375
1789658956.8622935,4.185200999927474
1789658956.8625968,4.438900999957696
1789658956.8628325,5.4087009993963875
1789658956.8636658,4.616501002601581
1789658956.8638551,3.625801000453066
1789658956.8654175,4.600200998538639
1789658956.865563,6.17990099999588
1789658956.866253,3.9524000021629035
1789658956.866479,3.638700000010431
1789658956.8666158,6.1199009978736285
1789658956.866767,5.15160099894274
1789658956.866918,6.188301002111984
1789658956.867526,4.921600000670878
1789658956.8676164,3.9448999996238854
1789658956.867824,3.9640000031795353
1789658956.8682423,2.816699998220429
1789658956.8692744,2.6521000036154874
1789658956.8698678,4.296199997043004
1789658956.8702016,3.942500003176974
1789658956.8707476,2.918499998486368
1789658956.8709502,4.027800001495052
1789658956.8710032,4.518699999607634
1789658956.87162,3.371399998286506
1789658956.8718538,4.322700002376223
1789658956.87312,6.348200000502402
1789658956.8732185,5.597399998805486
1789658956.873521,3.6469999977271073
1789658956.8747675,2.9088000010233372
1789658956.874915,4.707200001575984
1789658956.8750803,5.8005999999295454
1789658956.875285,4.277300002286211
1789658956.8754935,4.538400000456022
1789658956.8755705,4.816700002265861
1789658956.8770187,3.7950000005366746
1789658956.877735,4.603800000040792
1789658956.8782113,3.2917999997152947
1789658956.8782609,3.488199999992503
1789658956.878448,3.363700001500547
1789658956.8785102,4.984600000170758
1789658956.8789275,3.638000001956243
1789658956.8792486,7.623100002092542
1789658956.8795283,4.02859999667271
1789658956.8802114,4.63560000207508
1789658956.8811023,4.075800003192853
1789658956.8821223,3.604800000175601
1789658956.882639,3.7040999995952006
1789658956.8827505,4.484000000957167
1789658956.8832724,3.737300001375843
1789658956.88347,5.72680000186665
1789658956.88355,3.333000000566244
1789658956.8836734,4.42040000052657
1789658956.8837616,5.545700001675868
1789658956.8847606,3.6500000023806933
1789658956.8849,6.4477000014449
1789658956.88572,3.590199998143362
1789658956.887009,3.4521000015956815
1789658956.8871796,4.421599998750025
1789658956.8872287,3.7535999981628265
1789658956.8878791,3.114099999947939
1789658956.888134,4.456499998923391
1789658956.888201,5.556500000238884
1789658956.8885174,5.238999998255167
1789658956.888844,5.077900001197122
1789658956.8892229,3.4969000007549766
1789658956.8900664,5.160000000614673
1789658956.8904207,3.402899998036446
1789658956.8907337,3.4984000012627803
1789658956.8908558,2.650599999469705
1789658956.8919272,2.696699997613905
1789658956.8923802,3.8574999998672865
1789658956.8931947,6.009400000039022
1789658956.8933573,5.47270000242861
1789658956.8934019,2.9756000003544614
1789658956.8934414,4.593200003000675
1789658956.8940809,3.3411999975214712
1789658956.8941019,2.168799997889437
1789658956.8942475,3.3874000000650994
1789658956.8946695,4.59699999919394
1789658956.895194,7.056400998408208
1789658956.8965302,1.8544009981269483
1789658956.8971658,3.956900996854529
1789658956.8980553,3.9680010013398714
1789658956.8983445,4.2375010016257875
1789658956.8984344,5.028201001550769
1789658956.8986013,6.216901001607766
1789658956.8992898,5.8417010004632175
1789658956.899414,6.049800998880528
1789658956.8998003,5.540100999496644
1789658956.9005213,5.3222999995341524
1789658956.901787,5.248999998002546
1789658956.9021344,2.7135999989695847
1789658956.9021719,3.7331999992602505
1789658956.9022152,4.154900001594797
1789658956.9026308,3.335299999889685
1789658956.9027915,4.442400000698399
1789658956.903068,4.461600001377519
1789658956.9033458,6.170399999973597
1789658956.9041533,3.6254000006010756
1789658956.9045043,4.699700002674945
1789658956.9050422,2.8227000002516434
1789658956.905797,3.1605999974999577
1789658956.9062383,4.4443999977374915
1789658956.9067934,4.654100001062034
1789658956.90707,3.719100001035258
1789658956.907213,5.036499998823274
1789658956.9075105,4.715099999884842
1789658956.9077752,4.701300000306219
1789658956.9084795,4.320200001529884
1789658956.9090555,3.252099999372149
1789658956.9093883,3.1440999991900753
1789658956.9096572,5.148000000190223
1789658956.9098063,4.759300001751399
1789658956.9101114,3.313400000479305
1789658956.9114466,4.226299999572802
1789658956.9119625,4.181000000244239
1789658956.9124646,3.4021999999822583
1789658956.9128258,4.33829999747104
